City,Time,Temperature,Humidity,Pressure,WindSpeed,Weather_Class
Delhi,2026-08-02T19:00,27.1,95,975.1,4.6,Warm
Delhi,2026-08-02T20:00,26.6,96,974.4,2.4,Warm
Delhi,2026-08-02T21:00,26.3,98,973.9,2.8,Warm
Delhi,2026-08-02T22:00,26.2,99,974.7,5.0,Warm
Delhi,2026-08-02T23:00,26.1,99,974.4,5.2,Warm
Delhi,2026-08-03T00:00,26.2,98,974.4,5.6,Warm
Delhi,2026-08-03T01:00,26.5,96,974.6,6.0,Warm
Delhi,2026-08-03T02:00,27.2,92,975.0,6.5,Warm
Delhi,2026-08-03T03:00,28.0,88,975.6,6.8,Warm
Delhi,2026-08-03T04:00,28.7,85,976.0,7.2,Warm
Delhi,2026-08-03T05:00,29.4,82,976.4,7.3,Warm
Delhi,2026-08-03T06:00,29.7,81,976.5,7.0,Warm
Delhi,2026-08-03T07:00,29.8,81,976.2,6.2,Warm
Delhi,2026-08-03T08:00,29.6,83,975.6,5.0,Warm
Delhi,2026-08-03T09:00,29.4,85,974.9,3.8,Warm
Delhi,2026-08-03T10:00,29.0,88,974.2,3.1,Warm
Delhi,2026-08-03T11:00,28.7,91,973.7,3.2,Warm
Delhi,2026-08-03T12:00,28.3,93,973.5,3.5,Warm
Delhi,2026-08-03T13:00,28.0,94,973.6,3.5,Warm
Delhi,2026-08-03T14:00,27.7,95,974.2,3.4,Warm
Delhi,2026-08-03T15:00,27.3,96,974.8,3.4,Warm
Delhi,2026-08-03T16:00,26.9,96,975.5,3.4,Warm
Delhi,2026-08-03T17:00,26.6,97,976.1,3.6,Warm
Delhi,2026-08-03T18:00,26.3,97,976.4,3.9,Warm
Delhi,2026-08-03T19:00,26.1,97,976.5,4.1,Warm
Delhi,2026-08-03T20:00,25.9,97,976.3,4.6,Warm
Delhi,2026-08-03T21:00,25.8,98,976.1,4.8,Warm
Delhi,2026-08-03T22:00,25.7,98,975.8,5.1,Warm
Delhi,2026-08-03T23:00,25.6,98,975.7,5.1,Warm
Shimla,2026-07-28T00:00,16.5,100,779.3,3.5,Cool
Shimla,2026-07-28T01:00,16.6,99,779.2,0.9,Cool
Shimla,2026-07-28T02:00,17.1,98,780.1,3.6,Cool
Shimla,2026-07-28T03:00,17.2,97,780.4,3.0,Cool
Shimla,2026-07-28T04:00,17.7,94,780.8,3.0,Cool
Shimla,2026-07-28T05:00,18.9,87,782.0,3.5,Cool
Shimla,2026-07-28T06:00,20.8,77,783.0,6.0,Cool
Shimla,2026-07-28T07:00,21.4,73,783.1,6.7,Cool
Shimla,2026-07-28T08:00,20.4,78,782.3,7.3,Cool
